date,close,airline,ticker,daily_return_pct,normalised_price,volatility_30d,year,month,year_month
2015-05-27,13.48838233947754,Cathay Pacific,0293.HK,0.24330820918030405,123.77178746590907,1.3603806303766859,2015,5,2015-05
2015-05-28,13.291948318481444,Cathay Pacific,0293.HK,-1.4563200838485835,121.96927406690466,1.3921055653382488,2015,5,2015-05
2015-05-29,13.003846168518066,Cathay Pacific,0293.HK,-2.167493756824146,119.32559766626076,1.4446376909544636,2015,5,2015-05
2015-06-01,12.820511817932127,Cathay Pacific,0293.HK,-1.409847119152996,117.6432891651509,1.4439787098272905,2015,6,2015-06
2015-06-02,12.78122329711914,Cathay Pacific,0293.HK,-0.30645048630612015,117.28277073339777,1.424410863324822,2015,6,2015-06
2015-06-03,12.833605766296388,Cathay Pacific,0293.HK,0.40983924589639287,117.76344155653793,1.4101593759720141,2015,6,2015-06
2015-06-04,12.62407684326172,Cathay Pacific,0293.HK,-1.632658247808516,115.84076701506194,1.4347661716445959,2015,6,2015-06
2015-06-05,12.807414054870604,Cathay Pacific,0293.HK,1.4522821263302177,117.52310176942554,1.3917238917466097,2015,6,2015-06
2015-06-08,12.48002815246582,Cathay Pacific,0293.HK,-2.5562217400184717,114.51895069245144,1.4637282580114033,2015,6,2015-06
2015-06-09,12.388357162475586,Cathay Pacific,0293.HK,-0.7345415320407112,113.67776143755816,1.4509383174483594,2015,6,2015-06
2015-06-10,12.19192600250244,Cathay Pacific,0293.HK,-1.585611049123914,111.87527429180753,1.4455019004970648,2015,6,2015-06
2015-06-11,12.15263843536377,Cathay Pacific,0293.HK,-0.3222424999184348,111.51476461113899,1.4004082487792497,2015,6,2015-06
2015-06-12,12.100257873535156,Cathay Pacific,0293.HK,-0.431022136527881,111.03411129016803,1.4008082511000013,2015,6,2015-06
2015-06-15,12.322880744934082,Cathay Pacific,0293.HK,1.8398192313391126,113.07693822303102,1.4498476338825368,2015,6,2015-06
2015-06-16,12.15263843536377,Cathay Pacific,0293.HK,-1.3815138934968552,111.51476461113899,1.4273449786052896,2015,6,2015-06
2015-06-17,12.427645683288574,Cathay Pacific,0293.HK,2.262942729576678,114.0382798693113,1.469848688982004,2015,6,2015-06
2015-06-18,12.532410621643066,Cathay Pacific,0293.HK,0.8429990766100515,114.9996215155916,1.457071240814667,2015,6,2015-06
