airline,ticker,year,month,year_month,avg_close,avg_normalised,avg_daily_return,avg_volatility_30d,trading_days
Cathay Pacific,0293.HK,2015,1,2015-01,11.248868806021553,103.22161427881967,0.3704884189516128,,21
Cathay Pacific,0293.HK,2015,2,2015-02,11.148133701748318,102.29725110444764,-0.21153393324330935,1.7405489089290587,18
Cathay Pacific,0293.HK,2015,3,2015-03,11.052141362970525,101.41640838702355,0.14506143401242486,1.2206712847498737,22
Cathay Pacific,0293.HK,2015,4,2015-04,12.77675347579153,117.24175486051934,0.6526928211846422,1.247668371936248,19
Cathay Pacific,0293.HK,2015,5,2015-05,12.929754708942614,118.6457212988203,-0.02077161400978934,1.4384960199520214,19
Cathay Pacific,0293.HK,2015,6,2015-06,12.599077398126775,115.61136767479029,-0.17721238904591854,1.4101849765920493,22
Cathay Pacific,0293.HK,2015,7,2015-07,12.509789510206742,114.79204618695157,-0.15368904750686993,1.8414715252109433,22
Cathay Pacific,0293.HK,2015,8,2015-08,10.75952552613758,98.73131359551206,-1.2492926795500794,1.9791242925835866,21
Cathay Pacific,0293.HK,2015,9,2015-09,9.470789575576783,86.90564405576016,0.2852307206802124,2.267475912871027,20
Cathay Pacific,0293.HK,2015,10,2015-10,10.102206754684449,92.69964002413549,0.31751011776808336,1.540310238054135,20
Cathay Pacific,0293.HK,2015,11,2015-11,9.895603452410016,90.80381149738746,-0.5586391350298613,1.5628055674832109,21
Cathay Pacific,0293.HK,2015,12,2015-12,8.81935774196278,80.92799006958742,-0.07931091079581716,1.655894070928987,22
Cathay Pacific,0293.HK,2016,1,2016-01,8.431179857254028,77.36600098624723,-0.46957191426802547,1.4295552298485867,20
Cathay Pacific,0293.HK,2016,2,2016-02,7.978975587420994,73.21649444289113,0.12705519257585587,1.7782418046915305,18
Cathay Pacific,0293.HK,2016,3,2016-03,8.989650135948544,82.49062326495424,0.40097913586973744,2.4086525008365682,21
Cathay Pacific,0293.HK,2016,4,2016-04,8.839580011367797,81.11355319849955,-0.2786769497017305,1.9116701998655945,20
Cathay Pacific,0293.HK,2016,5,2016-05,8.298040480840774,76.144290466333,-0.08736770620462504,1.4646726510350958,21
Cathay Pacific,0293.HK,2016,6,2016-06,8.04766593660627,73.84680926392313,-0.32343667668438814,1.3284374115383757,21
Cathay Pacific,0293.HK,2016,7,2016-07,8.183750247955322,75.09554302886414,0.5451529055738003,1.779507616785493,20
Cathay Pacific,0293.HK,2016,8,2016-08,8.165746149809465,74.93033423264679,-0.501205669571971,1.8805214668246881,23
Cathay Pacific,0293.HK,2016,9,2016-09,7.634825252351307,70.05850995991149,-0.13235626289052535,1.8479714438121821,21
Cathay Pacific,0293.HK,2016,10,2016-10,7.200425291061402,66.07237890796091,-0.26696066678327246,0.968456926650777,20
Cathay Pacific,0293.HK,2016,11,2016-11,7.151546174829656,65.62385547249671,0.1259314272025661,1.1629235869400594,22
Cathay Pacific,0293.HK,2016,12,2016-12,7.023937368392945,64.45289444310504,-0.14277935454594548,0.7350750535601077,20
Cathay Pacific,0293.HK,2017,1,2017-01,7.220082634373715,66.2527581749005,0.1833195439432652,0.9547281064027533,19
Cathay Pacific,0293.HK,2017,2,2017-02,7.554768586158753,69.32389579908559,0.39888158422110853,1.3804778213740403,20
Cathay Pacific,0293.HK,2017,3,2017-03,7.784017873846966,71.42752790250029,-0.03349047442151732,1.371040052143411,23
Cathay Pacific,0293.HK,2017,4,2017-04,7.607562065124512,69.80833812090586,-0.03699100797678519,1.3694995815565445,17
Cathay Pacific,0293.HK,2017,5,2017-05,7.714154887199402,70.78645275223798,0.1121329142779792,1.3546043134592485,20
Cathay Pacific,0293.HK,2017,6,2017-06,8.295792904767124,76.12366630984782,0.2912096852589262,2.145277547896985,22
Cathay Pacific,0293.HK,2017,7,2017-07,8.453689802260627,77.57255623202134,0.05322331526412234,1.4299688557932788,21
Cathay Pacific,0293.HK,2017,8,2017-08,8.114746487658957,74.46235229191761,-0.2226593691815104,0.9450500679539712,23
Cathay Pacific,0293.HK,2017,9,2017-09,8.05237390881493,73.89001045150367,0.07583929920519267,0.8052686173267704,21
Cathay Pacific,0293.HK,2017,10,2017-10,8.719040536880494,80.00746161227357,0.6241793655461042,1.0914436916535293,20
Cathay Pacific,0293.HK,2017,11,2017-11,8.466186393391002,77.68722716753526,-0.474639109446205,1.3189293343011457,22
Cathay Pacific,0293.HK,2017,12,2017-12,8.058237376965975,73.94381467468914,0.06047272548891837,1.18985228719518,19
Cathay Pacific,0293.HK,2018,1,2018-01,8.63160480152477,79.20513580470062,0.11844405433108446,1.1420857791807177,22
Cathay Pacific,0293.HK,2018,2,2018-02,8.712655968136257,79.9488756776682,0.37451550461261895,1.3378119897916847,18
Cathay Pacific,0293.HK,2018,3,2018-03,9.367725599379767,85.95991073977065,0.11794853963155585,1.6164096991951582,21
Cathay Pacific,0293.HK,2018,4,2018-04,8.867934628536826,81.37374019213559,-0.33517963879387697,1.7163259730532663,19
Cathay Pacific,0293.HK,2018,5,2018-05,8.862978571937198,81.32826253820501,0.06210549939652215,1.3261912606983788,21
Cathay Pacific,0293.HK,2018,6,2018-06,9.076804065704346,83.29036317438593,-0.16348670065276238,1.459585318648789,20
Cathay Pacific,0293.HK,2018,7,2018-07,8.3365877696446,76.49800722177005,-0.07758882751475024,1.4407970490265494,21
Cathay Pacific,0293.HK,2018,8,2018-08,8.248708807903787,75.69161429031567,-0.13923177102798548,1.5566579449440079,23
Cathay Pacific,0293.HK,2018,9,2018-09,7.851338512019107,72.04527401246371,0.1050924293909347,1.5075964565452278,19
Cathay Pacific,0293.HK,2018,10,2018-10,7.482793399265835,68.66343872493697,-0.7917235927152211,1.7602389683078594,21
Cathay Pacific,0293.HK,2018,11,2018-11,7.478836384686557,68.62712845768777,0.5770044413320882,1.822318665027055,22
Cathay Pacific,0293.HK,2018,12,2018-12,7.610772634807386,69.83779887746152,-0.05684160950212759,1.4034383278974658,19
Cathay Pacific,0293.HK,2019,1,2019-01,8.141732952811502,74.70998488011472,0.35958873781903977,1.273508069592265,22
Cathay Pacific,0293.HK,2019,2,2019-02,8.75626698662253,80.34905811433121,0.5694012763283061,1.346800839615531,17
Cathay Pacific,0293.HK,2019,3,2019-03,9.252257210867745,84.90035233741781,0.20539976599586968,2.0659246797666837,21
Cathay Pacific,0293.HK,2019,4,2019-04,9.574307943645277,87.85554695211353,-0.1291145567254018,1.642385918875674,19
Cathay Pacific,0293.HK,2019,5,2019-05,8.542026928492955,78.3831533620698,-0.7887325137776425,1.3352232569647622,21
Cathay Pacific,0293.HK,2019,6,2019-06,7.947281661786531,72.9256653628088,0.25038590936606175,1.2976730569557737,19
Cathay Pacific,0293.HK,2019,7,2019-07,8.19399163939736,75.18951985225306,-0.23079791992555013,1.3670916824814114,22
Cathay Pacific,0293.HK,2019,8,2019-08,7.256048202514648,66.58278460386684,-0.34247702639769884,1.8377236746559917,22
Cathay Pacific,0293.HK,2019,9,2019-09,7.327565488361177,67.23903989684055,-0.08909756092055535,2.378440632157055,21
Cathay Pacific,0293.HK,2019,10,2019-10,7.091204189118885,65.07014671464178,0.11835862120664105,1.924459730331402,21
Cathay Pacific,0293.HK,2019,11,2019-11,7.21518087387085,66.20777875157903,0.21066310299018076,1.3535471844522922,21
Cathay Pacific,0293.HK,2019,12,2019-12,7.755468082427979,71.16554995534759,0.4925372521562821,1.1888424584818362,20
Cathay Pacific,0293.HK,2020,1,2020-01,7.695029330253601,70.61095325126857,-0.7687368469570999,1.6035538420770723,20
Cathay Pacific,0293.HK,2020,2,2020-02,7.37638487815857,67.68701527195527,0.10336195924444627,1.865549493183033,20
Cathay Pacific,0293.HK,2020,3,2020-03,6.473347772251476,59.40058670453288,-0.8055523181182432,2.11966377430163,22
Cathay Pacific,0293.HK,2020,4,2020-04,6.31265600104081,57.92605052567651,0.5622306961250856,2.956618481840696,19
Cathay Pacific,0293.HK,2020,5,2020-05,6.184418892860412,56.749324088104174,-0.7636714221055768,2.211699208759104,20
Cathay Pacific,0293.HK,2020,6,2020-06,5.841898736499605,53.60629841394301,-0.20290860476483774,2.116367213624565,21
