date,close,airline,ticker
2015-01-02,10.897784233093262,Cathay Pacific,0293.HK
2015-01-05,10.536243438720703,Cathay Pacific,0293.HK
2015-01-06,10.549158096313477,Cathay Pacific,0293.HK
2015-01-07,10.949432373046875,Cathay Pacific,0293.HK
2015-01-08,11.091463088989258,Cathay Pacific,0293.HK
2015-01-09,11.414266586303711,Cathay Pacific,0293.HK
2015-01-12,11.285144805908203,Cathay Pacific,0293.HK
2015-01-13,11.323880195617676,Cathay Pacific,0293.HK
2015-01-14,11.453001976013184,Cathay Pacific,0293.HK
2015-01-15,11.401354789733887,Cathay Pacific,0293.HK
2015-01-16,11.233497619628906,Cathay Pacific,0293.HK
2015-01-19,10.923608779907227,Cathay Pacific,0293.HK
2015-01-20,10.949432373046875,Cathay Pacific,0293.HK
2015-01-21,11.104377746582031,Cathay Pacific,0293.HK
2015-01-22,11.143112182617188,Cathay Pacific,0293.HK
2015-01-23,11.801630020141602,Cathay Pacific,0293.HK
2015-01-26,11.698331832885742,Cathay Pacific,0293.HK
2015-01-27,11.569211959838867,Cathay Pacific,0293.HK
2015-01-28,11.5950345993042,Cathay Pacific,0293.HK
2015-01-29,11.620859146118164,Cathay Pacific,0293.HK
2015-01-30,11.685419082641602,Cathay Pacific,0293.HK
2015-02-02,11.60794734954834,Cathay Pacific,0293.HK
2015-02-03,11.181846618652344,Cathay Pacific,0293.HK
2015-02-04,11.22058391571045,Cathay Pacific,0293.HK
2015-02-05,11.259321212768555,Cathay Pacific,0293.HK
2015-02-06,11.207673072814941,Cathay Pacific,0293.HK
2015-02-09,11.039815902709961,Cathay Pacific,0293.HK
2015-02-10,11.052727699279785,Cathay Pacific,0293.HK
2015-02-11,11.259321212768555,Cathay Pacific,0293.HK
2015-02-12,11.039815902709961,Cathay Pacific,0293.HK
2015-02-13,11.104377746582031,Cathay Pacific,0293.HK
2015-02-16,11.026904106140137,Cathay Pacific,0293.HK
2015-02-17,11.052727699279785,Cathay Pacific,0293.HK
2015-02-18,11.091463088989258,Cathay Pacific,0293.HK
2015-02-23,11.001080513000488,Cathay Pacific,0293.HK
2015-02-24,11.026904106140137,Cathay Pacific,0293.HK
2015-02-25,11.07855224609375,Cathay Pacific,0293.HK
2015-02-26,11.181846618652344,Cathay Pacific,0293.HK
2015-02-27,11.233497619628906,Cathay Pacific,0293.HK
2015-03-02,11.194762229919434,Cathay Pacific,0293.HK
2015-03-03,11.117289543151855,Cathay Pacific,0293.HK
2015-03-04,11.013992309570312,Cathay Pacific,0293.HK
2015-03-05,10.807398796081543,Cathay Pacific,0293.HK
2015-03-06,10.75575065612793,Cathay Pacific,0293.HK
2015-03-09,10.574981689453125,Cathay Pacific,0293.HK
2015-03-10,10.549158096313477,Cathay Pacific,0293.HK
2015-03-11,10.574981689453125,Cathay Pacific,0293.HK
2015-03-12,10.639540672302246,Cathay Pacific,0293.HK
2015-03-13,10.71701431274414,Cathay Pacific,0293.HK
2015-03-16,10.768662452697754,Cathay Pacific,0293.HK
